model,contrast_family,fix,AQ_z.trend,std.error,df,statistic,p.value,Sex,medication,p_display,sig,significant_0_05,trait,selected_model,SIAS_z.trend
AQ_best_aic,trait_slope_by_aoi_sex,Mouth,-0.02198908495090801,0.06322668969144697,Inf,-0.3477816893184999,0.7280041420716428,m,NA,0.728,,FALSE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_sex,Face,-0.1109390675532146,0.05980163558031764,Inf,-1.855117614704968,0.06357943292233172,m,NA,0.064,.,FALSE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_sex,Background,0.19122536433380233,0.05516730880398316,Inf,3.46628045629798,5.277125093677223e-4,m,NA,<0.001,***,TRUE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Eyes,-0.1145846981277131,0.05750632700994466,Inf,-1.9925581077000065,0.04630985632150233,NA,BOTH,0.046,*,TRUE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Mouth,-0.02198908495090801,0.06322668969144697,Inf,-0.3477816893184999,0.7280041420716428,NA,BOTH,0.728,,FALSE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Face,-0.1109390675532146,0.05980163558031764,Inf,-1.855117614704968,0.06357943292233172,NA,BOTH,0.064,.,FALSE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Background,0.19122536433380233,0.05516730880398316,Inf,3.46628045629798,5.277125093677223e-4,NA,BOTH,<0.001,***,TRUE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Eyes,-0.1145846981277131,0.05750632700994466,Inf,-1.9925581077000065,0.04630985632150233,NA,NAL,0.046,*,TRUE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Mouth,-0.02198908495090801,0.06322668969144697,Inf,-0.3477816893184999,0.7280041420716428,NA,NAL,0.728,,FALSE,AQ,trait_aoi,NA
AQ_best_aic,trait_slope_by_aoi_medication,Face,-0.1109390675532146,0.05980163558031764,Inf,-1.855117614704968,0.06357943292233172,NA,NAL,0.064,.,FALSE,AQ,trait_aoi,NA
