model,term,Estimate,Std. Error,z value,p_value,p_display,sig,significant_0_05
medication_type_responsiveness,fix.L:medicationNAL/PLA:medication_type_groupOther/multiple medication,0.13130358514841398,0.49963162885880014,0.26280078674827334,0.7927041291085024,0.793,,FALSE
medication_type_responsiveness,fix.Q:medicationNAL/PLA:medication_type_groupOther/multiple medication,0.09036235779743862,0.5229791577014423,0.17278386044023683,0.8628213237346489,0.863,,FALSE
medication_type_responsiveness,fix.C:medicationNAL/PLA:medication_type_groupOther/multiple medication,0.23788759066819423,0.5445934222483012,0.43681686364498923,0.6622441680802529,0.662,,FALSE
medication_type_responsiveness,fix.L:medicationPLA/OXT:medication_type_groupOther/multiple medication,0.22356672301700742,0.49215831827020073,0.45425773519948237,0.649643332368878,0.650,,FALSE
medication_type_responsiveness,fix.Q:medicationPLA/OXT:medication_type_groupOther/multiple medication,0.14200672389346916,0.5126134054597984,0.27702499072589315,0.7817609169864062,0.782,,FALSE
medication_type_responsiveness,fix.C:medicationPLA/OXT:medication_type_groupOther/multiple medication,0.5624246808553144,0.5325702332056542,1.0560572968375643,0.2909420385258146,0.291,,FALSE
medication_type_responsiveness,fix.L:medicationPLA/PLA:medication_type_groupOther/multiple medication,-0.19692742435792931,0.5019116234619262,-0.39235477951203046,0.6947960934929391,0.695,,FALSE
medication_type_responsiveness,fix.Q:medicationPLA/PLA:medication_type_groupOther/multiple medication,0.09633950467647559,0.5275390298593238,0.18262061994193296,0.8550957040492444,0.855,,FALSE
medication_type_responsiveness,fix.C:medicationPLA/PLA:medication_type_groupOther/multiple medication,0.5317466389493205,0.551188015344441,0.9647282309232151,0.3346809512684227,0.335,,FALSE
disorder_type_base,(Intercept),-1.2228553417261392,0.11426718467667711,-10.701719353515623,9.990698068010173e-27,<0.001,***,TRUE
disorder_type_base,fix.L,1.0038591756019186,0.17716159719972494,5.666347512492833,1.4587352920713868e-8,<0.001,***,TRUE
disorder_type_base,fix.Q,1.376548927839665,0.18651300465616502,7.3804447597491665,1.577616237960897e-13,<0.001,***,TRUE
disorder_type_base,fix.C,0.2600325784348527,0.19329017064304976,1.345296439905662,0.17852952279647832,0.179,,FALSE
disorder_type_base,medicationNAL/PLA,0.08236390018206649,0.1203473488173098,0.6843848326654615,0.49373219102395993,0.494,,FALSE
disorder_type_base,medicationPLA/OXT,0.009130499862173465,0.11802774837808434,0.07735892608003726,0.9383380150641897,0.938,,FALSE
disorder_type_base,medicationPLA/PLA,2.5629046071988363e-4,0.12247429058651152,0.0020926062073317263,0.9983303430339013,0.998,,FALSE
disorder_type_base,Sexm,0.08932043673197847,0.08496717460448196,1.0512346344074723,0.2931508398709709,0.293,,FALSE
disorder_type_base,sessionsession_2,0.0013749554632503335,0.11681248492754966,0.011770620786837289,0.9906086202623368,0.991,,FALSE
disorder_type_base,sessionsession_3,0.003658620215077734,0.11867446883146071,0.03082904226244011,0.9754058790472582,0.975,,FALSE
disorder_type_base,sessionsession_4,0.02832999160000246,0.11810820774689729,0.2398647150815536,0.8104351356710372,0.810,,FALSE
disorder_type_base,fix.L:medicationNAL/PLA,-0.09210326551018308,0.22918448138796602,-0.40187391813091244,0.6877768185539139,0.688,,FALSE
disorder_type_base,fix.Q:medicationNAL/PLA,-0.1761883970348333,0.23939275832965573,-0.7359804793769622,0.461742577587159,0.462,,FALSE
disorder_type_base,fix.C:medicationNAL/PLA,0.03840951920556633,0.2492748069144178,0.15408504245177598,0.8775426818266426,0.878,,FALSE
disorder_type_base,fix.L:medicationPLA/OXT,-0.13525013916727507,0.22566321110701865,-0.5993450970753668,0.5489427807657462,0.549,,FALSE
disorder_type_base,fix.Q:medicationPLA/OXT,-0.2779603992793118,0.23572694150837908,-1.1791626256239003,0.23833342522826306,0.238,,FALSE
disorder_type_base,fix.C:medicationPLA/OXT,0.022710333918516276,0.24500846991078135,0.09269203602139198,0.9261482241066775,0.926,,FALSE
disorder_type_base,fix.L:medicationPLA/PLA,0.18826579532556606,0.23189026352428418,0.8118745154034911,0.416863639016716,0.417,,FALSE
disorder_type_base,fix.Q:medicationPLA/PLA,-0.04055402851149125,0.24158382842170886,-0.16786731453191525,0.8666876644158763,0.867,,FALSE
disorder_type_base,fix.C:medicationPLA/PLA,-7.047888214548263e-4,0.25122458965411654,-0.0028054133650896687,0.9977616069254793,0.998,,FALSE
